review,sentiment
It did not meet my expectations and I will never buy from them again.,0
It did not meet my expectations and I will never buy from them again.,0
It did not meet my expectations and I will never buy from them again.,0
It did not meet my expectations and I will never buy from them again.,0
It did not meet my expectations and I will never buy from them again.,0
"The camera is not great, but it is not terrible either. Purely average.",1
"The camera is not great, but it is not terrible either. Purely average.",1
"The camera is not great, but it is not terrible either. Purely average.",1
"The camera is not great, but it is not terrible either. Purely average.",1
"The camera is not great, but it is not terrible either. Purely average.",1
Could not be happier with this amazing purchase!,2
Could not be happier with this amazing purchase!,2
Could not be happier with this amazing purchase!,2
Could not be happier with this amazing purchase!,2
Could not be happier with this amazing purchase!,2
I can not recommend this faulty item to anyone.,0
I can not recommend this faulty item to anyone.,0
I can not recommend this faulty item to anyone.,0
I can not recommend this faulty item to anyone.,0
I can not recommend this faulty item to anyone.,0
Hardly any noticeable difference between this and older models.,1
Hardly any noticeable difference between this and older models.,1
Hardly any noticeable difference between this and older models.,1
Hardly any noticeable difference between this and older models.,1
Hardly any noticeable difference between this and older models.,1
Never had such a wonderful dining experience in years.,2
Never had such a wonderful dining experience in years.,2
Never had such a wonderful dining experience in years.,2
Never had such a wonderful dining experience in years.,2
Never had such a wonderful dining experience in years.,2
There is no doubt that this is the worst software update so far.,0
There is no doubt that this is the worst software update so far.,0
There is no doubt that this is the worst software update so far.,0
There is no doubt that this is the worst software update so far.,0
There is no doubt that this is the worst software update so far.,0
"Not the best, not the worst, just a standard functional tool.",1
"Not the best, not the worst, just a standard functional tool.",1
"Not the best, not the worst, just a standard functional tool.",1
"Not the best, not the worst, just a standard functional tool.",1
"Not the best, not the worst, just a standard functional tool.",1
